id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size
20231022184554,0.5,0.5,0,0,0,./data/covid,alexol,263149,70,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,140
20231022185014,0.5,0.5,0,0,0,./data/covid,alexol,335367,70,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,140
20231022185026,0.5,0.5,0,0,0,./data/covid,alexol,563650,70,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,140
20231022185137,0.5,0.5,0,0,0,./data/covid,alexol,451686,70,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,140
20231022185231,0.5,0.5,0,0,0,./data/covid,alexol,130686,70,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,140
20231022185312,0.5,0.5,0,0,0,./data/covid,alexol,281358,70,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,140
20231022185336,0.5,0.5,0,0,0,./data/covid,alexol,339492,70,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,140
20231022185350,0.5,0.5,0,0,0,./data/covid,alexol,31357,70,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,140
20231022185706,0.5,0.5,0,0,0,./data/covid,alexol,390046,70,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,140
20231022185727,0.5,0.5,0,0,0,./data/covid,alexol,25922,70,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,140
20231022185740,0.5,0.5,0,0,0,./data/covid,alexol,62364,70,0,9,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,140
20231022185749,0.5,0.5,0,0,0,./data/covid,alexol,36464,70,0,24,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,140
20231022203827,0.5,0.5,0,0,0,./data/covid,alexol,820283,1000,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,2000
20231022203901,0.5,0.5,0,0,0,./data/covid,alexol,533672,1000,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,2000
20231022203952,0.5,0.5,0,0,0,./data/covid,alexol,1459565,100000,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000
20231022204048,0.5,0.5,0,0,0,./data/covid,alexol,1638381,100000,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000
20231022204200,0.5,0.5,0,0,0,./data/covid,lipp,1816582,100000,17397426,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000
20231022204221,0.5,0.5,0,0,0,./data/covid,alex,2524784,100000,10516176,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000
20231022204336,0.5,0.5,0,0,0,./data/covid,alex,3151238,100000,10516176,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,220,32,200000
